Name,Math_Grade7,Math_Grade8,Math_Grade9,English_Grade7,English_Grade8,English_Grade9,Kiswahili_Grade7,Kiswahili_Grade8,Kiswahili_Grade9,Integrated_Grade7,Integrated_Grade8,Integrated_Grade9,Agriculture_Grade7,Agriculture_Grade8,Agriculture_Grade9,Social_Grade7,Social_Grade8,Social_Grade9,CRE_Grade7,CRE_Grade8,CRE_Grade9,Creative_Arts_and_Sports_Grade7,Creative_Arts_and_Sports_Grade8,Creative_Arts_and_Sports_Grade9,Pretechnical_Grade7,Pretechnical_Grade8,Pretechnical_Grade9,Actual Pathway
cheruto,10,22,60,27,29,85,59,29,86,16,15,77,16,50,66,26,23,67,78,12,32,82,40,18,89,83,76,STEM
esther namae,81,33,61,20,46,52,90,52,63,68,50,14,56,25,57,70,63,45,17,29,88,45,15,17,56,39,85,STEM
evereso,35,31,91,73,63,92,86,33,18,69,78,34,51,52,74,57,59,37,93,90,20,74,51,24,59,76,92,Arts and Sports
wanjala,10,12,30,29,61,58,17,20,47,81,68,80,77,88,19,12,71,26,32,18,95,63,90,16,81,30,24,Arts and Sports
mercy,92,85,75,47,10,46,81,31,88,94,36,38,77,50,60,55,60,92,94,73,16,57,33,80,90,38,52,Arts and Sports
chepteek,76,89,56,18,26,92,20,24,24,80,59,76,64,25,19,49,51,22,48,79,60,90,12,19,51,81,95,Social Science
clare,63,51,67,41,71,58,76,74,49,12,82,85,67,53,14,28,83,14,70,71,75,39,67,34,32,37,47,STEM
cherop,51,86,29,84,58,13,19,59,27,75,80,95,46,62,37,11,38,47,83,94,11,14,79,36,14,20,82,Arts and Sports
elimina,35,27,88,43,45,33,66,64,38,69,29,64,80,33,62,42,91,18,31,94,15,61,55,21,36,91,84,Social Science
cheruto,20,21,84,34,29,12,92,60,32,90,86,95,87,32,10,29,23,20,75,50,86,89,51,94,12,89,59,STEM
kanai,15,66,11,50,37,73,14,37,67,21,73,56,31,87,23,17,72,66,44,66,36,30,21,26,52,40,28,STEM
marion,59,90,93,83,48,80,48,17,87,24,56,30,86,84,75,27,87,82,21,95,17,56,30,83,42,90,41,Arts and Sports
cherop,30,22,56,23,14,83,91,59,27,62,37,38,58,38,84,86,59,46,52,70,92,93,55,64,31,63,23,Arts and Sports
majune,10,24,12,87,35,87,48,78,65,61,12,14,17,90,70,42,36,86,73,41,23,79,72,89,90,81,30,Arts and Sports
ruth,91,21,15,61,48,62,72,23,90,13,74,27,42,59,92,65,79,32,19,78,13,90,29,45,43,10,43,STEM
cherotich,46,82,29,68,88,80,39,82,53,61,83,65,33,48,30,65,74,16,73,82,55,32,69,43,46,73,31,Arts and Sports
chemabus,86,29,58,44,73,81,61,69,30,20,92,74,29,49,22,83,46,37,61,33,67,79,90,23,92,40,16,Social Science
cheruto,13,71,93,58,87,91,65,17,41,41,12,58,27,66,84,36,50,12,34,94,55,42,76,78,43,69,17,STEM
pauline,53,42,19,34,44,66,45,87,19,25,30,69,53,69,13,83,23,70,83,60,68,30,52,14,14,32,64,STEM
nimo,22,75,52,30,85,14,64,12,33,71,56,55,21,13,49,88,76,92,24,14,12,81,49,22,15,52,63,STEM
hilda,43,30,26,78,62,56,17,80,16,81,39,57,13,60,49,83,70,76,25,78,90,43,46,78,25,26,88,STEM
mangut,14,18,40,33,50,74,67,35,64,19,40,19,59,82,77,40,50,88,79,94,29,61,34,72,85,37,74,STEM
chebet,92,29,90,54,50,77,42,68,61,47,69,73,69,63,54,81,87,71,60,48,56,47,53,66,58,67,87,STEM
serena,37,37,22,47,72,49,75,33,83,87,52,77,75,38,55,24,28,78,43,69,57,60,69,64,32,91,24,STEM
purity,63,25,95,66,33,40,63,86,64,38,55,85,68,31,25,25,83,78,95,79,35,79,80,32,16,17,80,STEM
wanjala,28,60,66,61,70,86,23,27,18,50,10,16,69,55,24,55,39,47,27,71,48,51,81,44,39,42,69,Arts and Sports
komon,90,18,11,67,21,91,20,81,95,43,48,91,22,66,48,13,74,58,27,93,12,41,52,15,50,62,94,Social Science
marion,50,55,40,34,45,73,91,75,41,32,72,69,45,58,71,65,30,13,76,91,73,39,48,52,35,10,81,STEM
sikuku,16,13,15,21,86,24,38,22,27,31,41,69,78,68,93,44,32,15,10,54,20,58,75,24,95,59,27,STEM
debrak,49,33,13,15,53,90,75,19,80,45,15,71,58,17,77,89,33,35,43,34,68,46,53,90,49,62,25,Arts and Sports
kaner,61,79,40,89,94,56,45,79,85,25,30,76,30,28,67,59,21,66,91,89,95,85,81,36,28,58,52,Arts and Sports
chepkorir,75,71,66,16,59,60,80,79,68,82,63,26,89,59,20,29,45,92,87,68,22,55,41,51,37,50,16,STEM
ivine,43,13,77,27,32,94,42,57,56,66,75,27,93,54,39,61,91,53,11,23,51,76,67,36,14,88,63,Social Science
chepkoech,25,80,58,31,95,15,67,29,38,20,39,26,33,31,51,39,57,72,75,21,14,65,37,45,70,83,25,STEM
lister,25,75,18,24,41,77,51,87,36,42,77,19,48,26,79,12,10,86,73,87,58,76,87,21,27,90,27,Arts and Sports
chemtai,81,83,31,82,84,62,40,22,29,35,51,26,37,44,24,38,16,44,24,43,83,35,51,95,94,10,69,Arts and Sports
piarlyne,32,91,37,46,67,36,70,47,60,52,39,12,81,83,53,52,20,37,92,52,46,22,94,49,17,44,53,Social Science
nasaka,42,11,38,27,87,12,60,33,74,75,73,43,69,51,70,90,89,25,86,62,39,56,93,22,38,14,26,Social Science
wanja,20,29,68,45,93,39,94,82,61,63,51,69,77,14,24,64,66,32,94,89,40,43,37,65,67,24,74,Social Science
esther,32,13,88,62,63,26,80,23,73,78,42,58,70,35,87,57,43,87,14,78,66,83,34,55,80,95,14,STEM
temko,77,78,26,26,73,55,86,40,64,84,63,91,84,95,64,68,87,92,19,84,85,75,40,63,46,10,20,Arts and Sports
sharline,84,88,48,57,20,31,23,44,65,31,57,87,37,37,92,14,32,29,35,66,62,87,84,34,73,56,30,Arts and Sports
chemtai,48,73,32,83,55,12,23,67,51,29,48,89,30,47,10,54,57,43,19,79,23,49,89,66,66,17,22,Arts and Sports
abigael,43,91,73,68,83,45,38,71,60,55,33,50,92,12,66,25,64,54,73,18,11,32,89,15,45,29,33,Arts and Sports
chepkwemoi,24,54,76,46,45,90,88,50,17,74,72,93,13,11,80,25,41,80,36,45,37,33,86,60,14,68,22,Arts and Sports
olinyo,53,28,68,40,92,73,26,15,35,86,27,14,91,27,18,40,39,34,47,84,55,42,23,89,19,36,77,Arts and Sports
seline,42,14,31,86,36,69,72,63,25,36,48,62,90,79,63,79,49,79,17,50,94,58,43,20,81,51,84,Arts and Sports
cherono,75,58,67,18,15,48,19,60,82,46,21,46,55,93,32,15,28,37,13,81,28,85,90,14,37,59,72,STEM
stella,61,27,29,88,56,65,40,55,59,79,58,68,10,91,33,95,70,68,38,15,52,85,33,92,62,29,86,Social Science
waithera,15,73,52,44,55,41,16,87,53,28,68,47,68,37,80,85,29,71,72,86,45,32,70,64,17,62,21,Arts and Sports
edo,11,81,57,86,23,72,55,88,26,26,57,16,51,70,94,13,47,36,36,13,31,37,32,15,43,18,37,STEM
esther,53,58,41,94,77,71,92,61,27,17,69,60,24,54,68,78,70,71,75,53,16,88,32,80,75,50,72,STEM
khamala,94,26,56,85,35,44,71,74,36,67,16,25,32,10,30,69,46,20,72,85,51,53,63,68,31,41,91,STEM
mishel,58,27,94,29,44,88,13,43,84,44,86,55,27,58,88,36,89,43,25,91,83,92,54,50,18,10,87,STEM
kukubo,73,33,78,60,54,19,38,88,87,64,21,14,31,27,83,44,19,20,64,23,53,68,72,77,85,58,59,STEM
ruth,43,82,60,84,73,75,91,27,72,28,66,45,48,85,35,46,43,91,69,27,34,15,79,41,24,75,84,Social Science
chelangat,15,42,61,89,70,23,13,64,45,33,40,12,39,93,29,81,68,73,46,23,73,33,22,83,94,84,18,Social Science
yvonne,42,61,46,88,95,53,40,78,43,70,44,25,40,46,94,91,77,78,23,26,25,60,12,34,19,26,24,Social Science
nafula,72,90,37,85,59,72,30,85,83,53,75,68,40,74,25,26,40,31,73,34,69,18,21,66,23,80,58,STEM
elikah,39,52,37,47,50,73,44,47,17,18,25,29,57,65,32,25,61,16,22,22,79,75,64,73,95,55,42,Social Science
katasi,87,85,78,93,39,87,48,32,20,80,16,35,70,65,37,59,58,93,68,58,80,34,12,46,39,84,17,Arts and Sports
nekesa,73,30,38,79,14,87,50,15,22,17,59,70,50,25,68,56,56,91,88,44,84,91,18,49,33,66,91,STEM
dinah,24,28,86,89,10,56,27,92,12,66,50,46,86,19,22,58,55,20,60,43,60,80,91,37,76,47,54,Social Science
nanjala,84,81,55,52,60,87,55,94,71,76,57,17,28,25,33,54,27,85,12,80,88,75,31,51,91,66,94,STEM
sululu,25,44,68,33,44,76,13,55,29,27,29,75,81,84,77,35,48,28,25,30,32,75,50,49,32,37,41,STEM
deborah,71,79,38,22,88,88,38,33,26,89,83,31,46,15,71,90,33,86,71,68,48,68,36,37,57,44,39,Arts and Sports
nafula,92,35,64,95,67,46,13,38,59,30,55,67,80,61,53,21,36,18,26,53,12,53,95,30,34,87,33,Arts and Sports
harriet,50,29,68,58,95,34,31,74,15,23,39,77,60,22,73,69,70,29,84,88,12,45,56,92,67,29,87,Arts and Sports
nakhumicha,14,72,26,50,85,56,84,95,51,55,15,65,62,71,45,45,46,28,91,57,71,75,35,93,49,54,35,STEM
angelah,65,46,76,23,95,24,48,44,84,52,24,40,35,86,18,73,58,94,67,85,36,70,87,13,17,77,37,Social Science
khalayi,19,89,89,22,11,70,74,91,69,81,21,22,87,52,50,65,86,74,67,94,84,69,51,35,69,49,49,STEM
wanyonyi,36,49,32,75,85,85,90,87,46,58,71,90,37,10,85,42,63,32,72,95,85,25,40,51,58,80,89,Social Science
joy,13,14,73,34,13,63,30,35,38,24,64,57,95,50,46,76,86,72,71,46,39,88,76,95,89,63,54,Arts and Sports
masai,84,34,34,69,58,28,43,42,50,10,26,60,33,84,87,32,61,95,50,32,71,93,91,90,60,69,23,STEM
deborah,22,41,24,62,20,50,28,40,81,83,65,94,43,18,47,79,74,49,48,20,32,85,48,62,79,84,36,STEM
watima,15,65,12,80,83,16,11,26,70,90,83,13,68,74,85,53,33,13,95,44,23,27,73,93,60,10,45,Social Science
marion,79,17,64,19,10,83,83,41,84,47,55,11,82,11,49,56,48,68,13,51,49,67,92,13,61,32,86,Social Science
nafula,28,36,20,50,79,16,14,41,59,55,26,27,12,85,48,60,59,10,14,23,72,62,32,23,36,10,29,STEM
laury,47,55,78,26,35,31,23,75,71,18,28,67,71,91,71,29,71,34,67,67,62,32,94,14,25,48,84,Social Science
chebet,42,84,42,89,43,68,78,12,61,92,73,54,49,22,28,94,38,34,20,50,65,38,15,95,79,84,75,STEM
makokha,56,26,19,19,38,80,30,30,80,86,95,68,79,24,22,39,56,94,76,48,87,57,65,25,39,80,18,STEM
vivian,90,34,90,53,60,18,80,65,27,67,52,54,25,80,40,42,94,87,77,60,90,53,48,42,23,60,25,Social Science
cheyech,71,24,61,30,71,78,39,13,34,33,50,44,34,14,21,52,93,88,93,67,23,73,84,53,40,37,21,STEM
selvine,61,23,58,47,39,76,35,29,28,70,11,89,73,86,62,50,56,76,91,18,18,71,46,67,54,35,13,STEM
betty,80,89,28,63,82,67,88,89,60,67,24,14,62,32,35,61,50,49,66,60,81,71,11,48,83,72,62,STEM
nambafu,61,85,94,88,36,54,11,40,69,79,37,91,94,10,40,61,86,38,60,83,51,25,15,86,49,18,71,Social Science
metrine,31,81,57,69,78,94,68,18,70,17,68,35,52,41,75,76,50,24,84,45,38,49,71,52,41,64,75,Social Science
ceceilia,48,73,32,84,52,72,56,25,17,36,41,10,22,32,68,85,88,78,63,91,61,72,27,51,60,18,62,Arts and Sports
neliwa,26,40,92,20,77,79,86,41,34,17,33,73,29,51,24,45,50,87,18,13,76,81,48,17,80,43,32,Arts and Sports
valentine,40,29,61,68,35,17,91,35,89,46,81,15,76,80,58,47,34,87,50,27,33,57,20,73,86,34,23,Arts and Sports
purity,89,94,40,36,92,28,54,14,92,73,88,54,45,11,82,43,40,61,94,25,15,27,94,59,20,57,32,STEM
ruth,10,86,70,73,86,24,55,83,72,33,75,14,64,58,12,79,53,79,52,31,49,33,63,51,51,73,72,Social Science
delight,30,16,40,16,75,11,42,89,78,25,77,47,20,37,88,92,36,32,65,77,21,12,92,94,66,35,75,STEM
belindah,72,93,20,30,81,73,47,18,43,26,42,29,54,41,53,36,27,69,86,17,31,38,38,62,40,47,12,Arts and Sports
chepkech,74,15,45,27,49,36,89,64,64,90,89,75,72,39,61,40,24,50,68,64,88,13,66,46,55,33,58,Arts and Sports
marian,22,60,92,61,85,40,19,60,39,49,19,64,83,51,70,88,32,38,20,74,83,38,84,82,12,38,78,Arts and Sports
kinjo,81,42,71,32,44,76,57,84,69,45,67,61,50,66,33,86,69,72,38,27,93,14,85,69,89,69,90,Arts and Sports
laura,45,46,81,59,60,23,80,36,38,14,87,24,79,69,21,41,76,16,51,48,67,12,31,19,68,42,14,Social Science
drizer,78,40,13,67,55,33,73,37,52,46,11,31,18,21,82,90,23,17,66,54,64,35,57,11,64,23,23,STEM
maraka,58,86,32,42,93,22,69,19,52,84,89,19,19,42,32,66,17,40,89,46,26,69,50,68,76,31,42,Social Science
blessing,43,78,64,41,29,90,66,83,42,85,64,76,23,82,69,90,75,90,40,24,73,25,62,93,19,81,81,STEM
barasa,34,11,44,91,11,18,85,80,33,60,37,89,79,93,58,68,93,80,80,48,26,55,35,13,19,44,46,STEM
blessed,69,42,59,28,66,38,12,47,55,53,60,20,73,17,87,79,82,35,55,33,41,21,49,30,24,48,91,Social Science
desmark,74,60,69,53,44,43,17,22,34,95,31,92,68,22,28,50,10,84,50,10,23,28,42,41,58,67,22,STEM
scholastic,75,14,23,83,62,76,76,76,32,66,29,51,55,14,67,33,63,22,69,50,73,67,23,33,25,60,75,STEM
natasia,42,92,33,82,65,32,72,43,56,34,74,75,26,50,65,67,14,59,91,94,82,10,35,10,12,35,22,Arts and Sports
sandra,56,43,68,91,29,14,52,68,76,69,64,23,79,17,55,74,82,19,82,12,26,41,92,29,81,79,49,STEM
nelima,58,69,10,95,47,12,43,57,80,32,48,79,18,75,24,74,50,48,46,69,86,32,15,79,47,32,51,STEM
malaba,79,34,25,14,40,23,68,21,74,80,58,31,38,48,77,74,23,74,19,71,21,82,48,10,44,12,15,Social Science
irine,37,49,34,34,30,40,15,61,55,83,75,19,44,92,44,69,63,36,86,40,21,34,41,28,73,91,36,STEM
lavendah,82,11,62,77,65,41,64,12,84,95,71,69,82,18,60,72,48,11,34,69,55,54,68,13,46,53,81,Social Science
nanjala,78,60,81,44,45,56,21,49,79,30,61,72,49,92,53,14,43,39,27,95,36,31,57,91,51,56,53,Arts and Sports
faith,15,58,12,53,55,15,49,37,76,58,93,55,82,53,45,10,57,85,19,63,25,10,89,88,80,15,87,STEM
wekesa,46,26,43,67,20,60,16,44,45,68,79,36,28,80,89,72,87,93,13,84,49,49,92,79,82,17,41,Arts and Sports
stacy,27,30,77,39,42,94,63,32,34,53,74,54,39,34,77,36,48,56,42,55,44,37,69,36,53,90,38,Arts and Sports
chebet,45,58,92,49,69,92,33,19,66,16,78,19,53,47,87,46,91,58,24,27,41,18,48,95,77,58,19,Arts and Sports
irine,81,82,51,86,79,52,16,65,24,30,59,10,48,86,73,54,15,55,69,58,20,45,86,77,71,32,37,Arts and Sports
lakwang,73,22,46,77,55,56,44,65,24,31,90,83,70,27,76,62,35,16,94,85,55,18,72,80,44,94,20,Arts and Sports
breva,23,43,81,60,48,32,59,84,15,12,88,23,22,66,79,56,84,43,39,91,75,47,24,35,73,73,58,STEM
nanjala,50,86,10,78,51,29,60,19,75,36,43,60,61,67,23,10,68,24,48,74,49,22,85,91,13,77,23,STEM
miriam,75,85,26,80,16,43,33,49,28,65,71,54,81,22,88,45,14,15,39,20,41,48,73,10,66,21,47,Social Science
tumwet,52,37,71,75,34,25,32,88,47,75,12,72,66,49,42,89,41,80,48,16,21,32,81,66,79,94,95,STEM
kate,79,68,70,66,41,37,58,53,84,17,17,18,73,91,91,39,19,79,55,81,38,33,72,51,26,53,63,STEM
kirui,93,12,81,50,44,33,17,50,92,93,79,56,87,13,81,27,39,32,74,76,41,94,90,32,70,56,74,Social Science
grace,63,21,81,77,87,79,20,40,49,35,45,36,70,37,40,95,28,81,88,45,41,92,66,55,53,85,76,Arts and Sports
ashaline,60,71,17,65,86,91,83,56,58,28,11,23,15,35,20,84,12,94,25,54,23,35,49,44,39,15,37,Social Science
braizy,68,91,45,45,83,59,13,64,55,63,74,12,85,33,87,49,58,85,11,87,83,87,41,90,16,88,10,Social Science
juma,71,15,67,77,75,50,46,39,37,35,62,70,28,32,24,61,19,24,86,88,92,42,95,14,31,74,44,STEM
priscilla,46,30,62,55,16,25,25,79,72,89,71,21,95,33,44,28,56,26,81,40,88,17,71,79,74,85,92,STEM
chepteek ,94,52,74,11,79,81,58,44,23,45,79,23,69,86,35,15,30,57,24,53,35,76,44,53,39,36,22,STEM
shoi,23,86,24,31,12,34,56,42,47,92,26,23,51,24,35,61,87,25,41,66,27,79,74,58,83,61,23,STEM
linda,54,45,74,88,70,31,38,61,15,55,28,69,50,73,16,40,66,70,54,59,11,39,90,59,33,54,84,Arts and Sports
brenda,58,77,86,40,56,15,15,26,90,88,44,37,53,28,50,42,83,68,60,93,33,44,31,66,10,60,23,Social Science
abigael,25,35,13,10,42,49,71,83,15,86,25,68,17,23,31,66,67,92,94,76,21,34,15,61,86,14,22,STEM
simiyu,85,57,35,31,22,62,53,61,75,24,59,17,43,69,81,17,88,31,10,61,60,26,10,25,45,20,33,STEM
joy,69,52,79,84,74,10,79,13,26,28,16,49,15,62,45,75,69,73,32,69,28,81,59,12,54,72,19,STEM
chemorei,11,28,33,75,42,18,93,80,85,94,89,72,71,49,31,87,92,83,73,52,51,28,64,46,18,91,54,STEM
christine,90,90,93,33,51,20,42,92,13,78,41,64,51,87,53,60,77,47,80,38,79,78,31,58,21,72,11,STEM
marion,82,32,34,62,28,91,33,89,11,63,81,95,39,40,72,56,52,37,63,57,35,21,92,34,28,43,49,STEM
ange;a,21,85,63,17,65,43,69,47,87,94,49,36,52,52,22,73,30,68,49,70,72,14,26,45,51,52,53,Arts and Sports
zubeda,56,91,15,56,93,40,39,77,45,80,26,52,91,23,74,55,66,76,89,21,92,78,63,88,36,49,89,STEM
mercy,13,58,84,85,75,41,12,25,17,67,69,92,47,93,56,53,39,46,11,21,56,86,10,65,55,23,87,Social Science
mambili,38,74,33,41,51,70,16,77,48,92,38,72,27,67,15,24,66,50,64,28,28,33,55,12,51,82,88,STEM
chepkwemoi,47,58,79,68,91,61,28,92,39,25,13,67,11,19,47,54,95,46,37,95,73,49,35,90,43,32,68,STEM
lincy,43,80,80,90,49,32,79,73,75,53,85,33,61,77,61,43,39,60,66,91,53,87,75,54,41,29,11,Arts and Sports
millian,86,66,31,71,62,41,35,77,65,40,90,56,38,43,17,75,72,76,82,65,74,11,35,10,82,48,64,STEM
clare,79,63,20,16,87,57,28,94,95,42,62,78,38,62,94,17,50,46,59,22,87,54,31,49,88,41,91,Arts and Sports
wendy,55,74,91,36,95,40,16,69,66,22,52,75,51,88,35,49,35,57,70,78,30,92,49,91,40,18,40,Arts and Sports
sophy,11,81,29,14,87,33,84,72,27,48,37,60,63,57,40,94,79,62,79,40,56,35,54,88,67,77,56,Social Science
vivian,41,90,61,42,85,17,74,29,13,65,51,79,58,35,37,11,31,28,58,29,38,19,86,15,15,72,40,STEM
caren,73,91,11,39,57,69,80,52,74,86,54,61,55,89,25,59,77,39,59,64,85,64,14,55,60,67,83,Social Science
dalvin,52,65,29,80,78,20,25,18,75,90,62,39,75,54,68,25,56,24,59,61,42,82,36,92,92,72,18,Social Science
blessy,46,48,74,90,34,69,53,36,57,33,82,87,92,78,62,24,84,89,95,90,21,54,25,81,31,14,49,Social Science
voline,62,41,62,58,14,26,59,67,13,48,11,34,48,95,77,46,26,35,48,52,77,94,86,25,48,89,48,STEM
bridgid,89,82,89,90,47,91,35,61,95,93,34,57,24,94,91,29,73,30,14,34,17,74,14,18,34,55,76,STEM
leah,76,71,27,25,22,12,24,73,43,48,67,26,27,33,63,45,30,71,79,14,40,76,80,72,61,50,40,STEM
dorcus,17,48,37,65,43,93,81,68,89,86,35,14,74,27,11,71,35,15,15,44,76,42,68,94,42,49,21,STEM
euvine,23,67,39,59,56,67,84,69,39,22,19,59,29,24,26,56,84,89,44,74,16,47,94,71,90,69,37,Social Science
edith,47,21,89,20,19,74,51,77,63,95,50,30,42,19,85,81,31,67,18,40,70,50,16,56,32,65,80,Social Science
bavin,36,69,49,77,88,85,84,21,33,54,32,80,45,82,59,60,69,87,56,36,65,62,62,70,52,45,47,Social Science
chebus,21,84,13,53,85,13,70,44,93,14,65,58,91,81,21,89,91,87,43,82,50,39,84,20,25,81,64,Social Science
melvine,40,50,63,36,79,87,22,32,91,89,38,13,20,28,55,71,54,71,48,91,74,44,73,85,43,62,29,Arts and Sports
bititi,91,76,12,36,18,23,29,11,58,14,47,48,69,28,87,83,29,77,85,79,59,54,18,52,74,26,76,Arts and Sports
Brian,76,61,86,64,94,61,95,86,92,78,95,80,63,68,68,74,82,63,60,82,88,89,95,72,76,63,84,Social Science
Mary,62,95,62,91,89,82,74,74,71,70,94,89,93,95,78,68,62,68,72,64,93,93,64,93,71,66,77,STEM
Peter,61,77,62,60,82,86,75,72,76,84,87,72,86,84,75,85,90,74,65,86,62,74,70,74,64,83,79,Arts and Sports
Grace,66,68,89,94,85,78,76,60,66,86,71,66,89,79,64,70,65,95,82,65,85,87,77,93,67,83,84,STEM
John,70,79,66,71,71,65,63,76,86,63,87,76,92,82,88,80,90,64,91,80,88,66,70,86,76,71,76,Arts and Sports
Esther,68,81,78,78,89,90,94,78,84,73,75,76,94,71,75,76,62,84,87,70,72,72,62,76,71,73,79,Social Science
Daniel,81,70,84,67,78,77,80,67,73,61,94,84,90,79,90,60,68,69,83,89,78,62,95,93,74,95,73,Social Science
Alice,69,84,76,92,92,74,60,79,84,93,68,94,63,87,71,67,75,76,65,78,71,94,94,71,87,65,73,STEM
Samuel,73,86,67,69,77,91,81,64,95,95,68,81,87,73,83,82,86,92,84,75,62,81,81,87,92,67,66,Social Science
Joyce,71,74,93,60,88,90,90,65,95,77,93,82,82,80,62,62,86,70,74,95,64,72,76,67,68,75,78,Arts and Sports
David,53,46,57,64,52,54,70,62,68,61,63,61,57,55,40,45,52,50,40,41,52,56,55,61,46,47,46,Social Science
Christine,44,43,52,67,47,61,49,66,49,67,42,42,42,62,46,56,52,62,49,62,60,62,50,68,49,47,41,Arts and Sports
Paul,63,53,66,64,41,56,54,67,60,46,42,42,51,43,44,42,66,69,48,49,50,47,58,64,55,40,57,Social Science
Naomi,58,47,44,41,65,67,65,42,43,44,60,57,70,55,40,51,69,65,44,69,51,66,68,40,53,62,42,Social Science
Joseph,61,51,53,61,55,45,46,59,62,68,52,57,44,47,50,43,64,56,47,43,66,40,50,40,65,41,55,STEM
Agnes,63,64,67,70,41,45,61,46,50,52,46,47,45,45,63,42,64,69,55,57,66,61,68,45,55,52,60,Social Science
Michael,58,43,45,61,44,43,50,68,66,53,64,63,46,48,42,45,66,57,40,46,49,66,63,65,59,40,52,STEM
Lucy,51,43,67,49,40,65,45,64,45,41,49,44,59,55,64,52,44,54,48,68,57,47,51,53,65,70,66,STEM
Stephen,58,42,57,61,70,59,67,56,51,51,51,65,59,62,42,51,52,68,45,58,45,52,69,53,46,66,70,STEM
Rebecca,61,55,57,48,69,43,47,59,62,54,59,46,42,63,52,66,45,59,58,59,54,42,63,61,48,69,54,STEM
George,59,63,54,70,56,66,70,69,57,51,62,60,41,68,68,69,55,41,49,42,50,46,45,41,68,59,58,STEM
Elizabeth,66,51,61,62,62,69,69,67,49,45,70,52,62,69,55,41,46,66,59,53,62,56,68,59,66,65,64,Arts and Sports
Anthony,43,57,67,60,69,57,55,45,48,66,54,45,54,59,52,56,52,46,60,60,60,42,54,51,40,44,40,STEM
Catherine,56,42,52,69,57,48,54,49,50,61,47,70,62,59,50,70,51,65,67,49,63,68,67,67,63,57,54,Arts and Sports
James,48,65,45,43,46,47,50,67,52,65,63,42,67,57,58,41,43,49,60,53,64,61,52,63,64,41,65,Social Science
Sarah,65,69,49,64,63,51,44,50,64,44,66,60,48,61,52,44,50,55,60,46,69,55,48,48,51,40,42,Arts and Sports
Patrick,51,61,40,47,53,55,42,55,58,40,40,69,50,65,51,43,41,46,66,52,43,59,62,45,44,70,59,Social Science
Margaret,66,70,65,53,47,42,59,41,63,47,41,46,54,64,56,56,43,67,45,44,66,69,54,50,40,57,65,Arts and Sports
Dennis,43,40,40,64,46,64,67,68,51,51,67,46,62,48,50,70,53,50,53,45,54,63,49,69,59,64,40,STEM
Ruth,49,50,54,41,62,42,57,47,48,45,52,59,62,57,55,60,64,70,69,66,63,46,63,52,54,41,40,Social Science
Martin,48,41,45,62,41,42,54,50,46,46,59,66,57,40,41,44,58,69,48,58,47,69,53,43,68,51,53,STEM
Janet,62,68,40,56,48,55,41,64,40,69,69,61,57,68,52,66,51,46,45,67,42,62,64,64,46,63,48,Social Science
Victor,59,68,41,45,67,55,67,56,51,58,67,46,68,41,55,61,55,57,46,62,60,59,64,54,64,69,41,STEM
Rose,49,57,59,64,67,41,44,63,55,67,62,63,69,66,45,59,67,51,69,56,61,49,44,52,56,61,49,Social Science
Nicholas,44,59,66,40,66,61,45,60,59,40,47,45,67,52,45,64,52,55,51,53,60,52,51,65,54,63,53,Social Science
Beatrice,66,53,40,65,48,41,69,49,68,70,69,54,41,40,68,61,62,59,56,41,41,64,54,45,48,69,59,Social Science
Francis,70,42,60,66,50,61,69,70,61,51,48,52,45,58,69,54,42,55,55,59,49,41,42,49,46,69,53,STEM
Hannah,46,50,40,66,40,43,46,43,42,41,43,65,63,67,54,69,60,41,43,60,41,42,45,52,61,61,54,STEM
Philip,69,68,57,59,47,57,44,50,42,40,59,66,58,43,46,42,55,41,60,63,65,59,57,56,67,43,52,Social Science
Diana,64,57,63,41,53,40,52,56,55,44,51,64,60,61,49,53,66,46,42,62,52,44,70,66,45,48,58,Arts and Sports
Andrew,56,67,58,50,56,43,46,46,62,58,46,62,57,60,40,70,69,43,58,44,44,65,65,67,64,40,56,STEM
Monica,54,57,64,69,68,56,61,45,66,70,63,59,41,53,65,56,43,58,53,55,57,47,64,67,69,43,59,STEM
Benjamin,45,64,42,55,43,45,62,60,59,58,65,56,51,59,50,53,63,68,54,58,41,68,64,60,53,55,43,Social Science
Eunice,59,45,51,40,52,48,70,40,57,46,58,57,62,60,59,46,42,69,66,70,46,47,69,46,50,56,61,Social Science
Alex,70,55,59,58,44,47,48,53,49,48,66,49,53,50,53,52,61,52,63,59,47,55,53,48,47,66,60,Social Science
Caroline,57,58,49,55,68,49,46,70,70,43,56,60,41,54,48,42,59,65,66,53,49,68,42,69,51,49,42,Social Science
Kennedy,44,53,69,69,64,66,61,51,62,47,55,69,52,65,42,63,45,51,43,42,42,62,42,57,42,60,52,Social Science
Florence,43,56,45,50,55,56,56,57,66,61,41,64,56,64,54,50,59,62,59,67,45,63,40,61,51,64,57,STEM
Robert,58,42,58,45,46,41,64,51,42,45,48,48,49,52,57,61,42,54,62,42,67,68,44,40,68,45,61,STEM
Irene,44,66,59,66,48,43,40,48,60,55,45,46,62,56,50,44,65,51,53,52,63,63,47,69,43,62,57,Arts and Sports
Chris,48,49,69,43,67,47,70,69,56,44,42,65,65,48,51,44,63,42,55,60,49,41,52,61,57,55,41,Social Science
Ann,46,53,45,70,69,58,51,52,50,58,43,63,50,62,64,63,53,56,67,70,42,52,55,48,40,41,40,STEM
